request time,response time,delta
93000,263250,170250
97500,414750,317250
102000,417750,315750
106500,423750,317250
111000,569250,458250
114000,572250,458250
117000,575250,458250
180000,723750,543750
184500,726750,542250
189000,729750,540750
256500,878250,621750
262500,881250,618750
268500,884250,615750
337500,1032750,695250
342000,1035750,693750
346500,1041750,695250
418500,1187250,768750
423000,1190250,767250
495000,1341750,846750
499500,1344750,845250
504000,1347750,843750
579000,1496250,917250
583500,1499250,915750
588000,1502250,914250
664500,1650750,986250
669000,1653750,984750
673500,1656750,983250
754500,1805250,1050750
759000,1808250,1049250
763500,1811250,1047750
846000,1959750,1113750
850500,1962750,1112250
855000,1965750,1110750
940500,2114250,1173750
945000,2117250,1172250
949500,2120250,1170750
1036500,2268750,1232250
1041000,2271750,1230750
1047000,2274750,1227750
1053000,2423250,1370250
1057500,2426250,1368750
1203000,2712750,1509750
2580000,2837250,257250
2584500,2840250,255750
2677500,3156750,479250
2994000,3281250,287250
2998500,3284250,285750
3003000,3453750,450750
3291000,3578250,287250
3295500,3581250,285750
3385500,3897750,512250
3735000,4022250,287250
3739500,4025250,285750
3825000,4341750,516750
4179000,4466250,287250
4182000,4469250,287250
4186500,4638750,452250
4474500,4763250,288750
4480500,4766250,285750
4485000,5082750,597750
4920000,5207250,287250
4924500,5210250,285750
4932000,5526750,594750
5364000,5651250,287250
5371500,5970750,599250
5808000,5973750,165750
5812500,6095250,282750
5820000,6414750,594750
6252000,6417750,165750
6256500,6539250,282750
6264000,6858750,594750
6696000,6861750,165750
6700500,6983250,282750
6709500,7302750,593250
7140000,7305750,165750
7144500,7427250,282750
7156500,7746750,590250
7584000,7749750,165750
7588500,7871250,282750
7602000,8190750,588750
8028000,8193750,165750
8032500,8315250,282750
8049000,8634750,585750
8472000,8637750,165750
8476500,8759250,282750
8490000,9078750,588750
8916000,9081750,165750
8992500,9233250,240750
8997000,9236250,239250
9001500,9239250,237750
9093000,9411750,318750
9246000,9417750,171750
9250500,9423750,173250
9255000,9566250,311250
9259500,9569250,309750
9264000,9572250,308250
9270000,9717750,447750
9274500,9720750,446250
9279000,9723750,444750
9285000,9872250,587250
9289500,9875250,585750
9294000,9878250,584250
9303000,10026750,723750
9307500,10029750,722250
9312000,10032750,720750
9324000,10181250,857250
9328500,10184250,855750
9333000,10187250,854250
9348000,10335750,987750
9352500,10338750,986250
9366000,10490250,1124250
9370500,10493250,1122750
9375000,10496250,1121250
9381000,10644750,1263750
9385500,10647750,1262250
9390000,10650750,1260750
9405000,10799250,1394250
9411000,10802250,1391250
9417000,10805250,1388250
9433500,10953750,1520250
9438000,10956750,1518750
9442500,10959750,1517250
9460500,11108250,1647750
9465000,11111250,1646250
9469500,11114250,1644750
9490500,11262750,1772250
9495000,11265750,1770750
9499500,11268750,1769250
9522000,11417250,1895250
9526500,11420250,1893750
9531000,11423250,1892250
9552000,11571750,2019750
9556500,11574750,2018250
9616500,11891250,2274750
11728500,12045750,317250
11733000,12048750,315750
11824500,12335250,510750
12172500,12489750,317250
12177000,12492750,315750
12181500,12662250,480750
12499500,12816750,317250
12504000,12819750,315750
12508500,13106250,597750
12943500,13260750,317250
12948000,13263750,315750
12952500,13550250,597750
13386000,13704750,318750
13392000,13707750,315750
13396500,13994250,597750
13831500,14148750,317250
13836000,14151750,315750
13842000,14438250,596250
14275500,14592750,317250
14280000,14595750,315750
14289000,14882250,593250
14719500,15036750,317250
14727000,15326250,599250
15163500,15329250,165750
15168000,15480750,312750
15171000,15650250,479250
15486000,15653250,167250
15490500,15804750,314250
15498000,16094250,596250
15931500,16097250,165750
15936000,16248750,312750
15943500,16538250,594750
16375500,16541250,165750
16380000,16692750,312750
16387500,16982250,594750
16819500,16985250,165750
16824000,17136750,312750
16831500,17426250,594750
17263500,17429250,165750
17268000,17580750,312750
17275500,17870250,594750
17707500,17873250,165750
17712000,18024750,312750
17718000,18194250,476250
18031500,18197250,165750
18099000,18348750,249750
18103500,18351750,248250
18108000,18354750,246750
18199500,18524250,324750
18361500,18527250,165750
18366000,18530250,164250
18370500,18678750,308250
18375000,18681750,306750
18379500,18687750,308250
18384000,18837750,453750
18387000,18843750,456750
18390000,18846750,456750
18453000,18992250,539250
18457500,18995250,537750
18462000,18998250,536250
18529500,19142250,612750
18535500,19145250,609750
18540000,19148250,608250
18607500,19296750,689250
18612000,19299750,687750
18616500,19302750,686250
18682500,19451250,768750
18687000,19454250,767250
18751500,19605750,854250
18756000,19608750,852750
18760500,19611750,851250
18825000,19760250,935250
18829500,19763250,933750
18837000,19766250,929250
18900000,19914750,1014750
18904500,19917750,1013250
18909000,19920750,1011750
18972000,20069250,1097250
18976500,20072250,1095750
18981000,20075250,1094250
19044000,20223750,1179750
19048500,20226750,1178250
19053000,20229750,1176750
19119000,20378250,1259250
19123500,20381250,1257750
19128000,20384250,1256250
19195500,20532750,1337250
19200000,20535750,1335750
19204500,20538750,1334250
19264500,20687250,1422750
19269000,20690250,1421250
19393500,20976750,1583250
20844000,21101250,257250
20848500,21104250,255750
20941500,21420750,479250
21258000,21545250,287250
21262500,21548250,285750
21265500,21717750,452250
